X,Y,OBJECTID,local,oaci,iata,tipo,denominacion,condicion,control,region,fir,uso,trafico,sna,concesion,inhab,provincia,longitud,latitud,elev_m,referencia,distancia_ref,direccion_ref,coordenadas
-67.0780555596217,-39.0747222196805,11,VRG,,,Aeródromo,VILLA REGINA,PUBLICO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,RÍO NEGRO,-67.07805556,-39.07472222,285,Villa Regina,1.4,N,"39° 4'29""S  67° 4'41""W"
-59.3261199996349,-28.4959800002749,12,VPO,,,Aeródromo,VILLA OCAMPO,PUBLICO,NOCONTROL,RANE,SARR,,Nacional,NO,NO,NO,SANTA FÉ,-59.32612,-28.49598,49,Villa Ocampo,2.5,O,"28°29'46""S  59°19'34""W"
-63.3022222198828,-32.4269444399193,13,VNS,,,Aeródromo,VILLA NUEVA/SUAREZ AVIACIÓN,PRIVADO,NOCONTROL,RANO,SACF,AEROAPP,Nacional,NO,NO,NO,CÓRDOBA,-63.30222222,-32.42694444,207,Villa Nueva,6,OSO,"32°25'37""S  63°18' 8""W"
-63.2893055600081,-32.4381666700187,14,VNR,,,Aeródromo,VILLA NUEVA/RAIG SA,PRIVADO,NOCONTROL,RANO,SACF,AEROAPP,Nacional,NO,NO,NO,CÓRDOBA,-63.28930556,-32.43816667,206,Villa María,5,SO,"32°26'17""S  63°17'22""W"
-61.9551499998124,-33.6797699997213,15,VNO,,,Aeródromo,VENADO TUERTO,PUBLICO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,SANTA FÉ,-61.95515,-33.67977,112,Venado Tuerto,6,N,"33°40'47""S  61°57'19""W"
-57.3672222204045,-35.3994444398691,16,VNA,,,Aeródromo,VERÓNICA,PUBLICO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,BUENOS AIRES,-57.36722222,-35.39944444,17,Verónica,2.5,SO,"35°23'58""S  57°22' 2""W"
-65.3247222196187,-33.844722219854,17,VMT,,,Aeródromo,VILLA MERCEDES/LAS TOTORITAS,PRIVADO,NOCONTROL,RANO,SAMF,AEROAPP,Nacional,NO,NO,NO,SAN LUIS,-65.32472222,-33.84472222,448,Villa Mercedes,20,SE,"33°50'41""S  65°19'29""W"
-63.2265399998155,-32.3200600000182,18,VMR,SAOV,,Aeródromo,VILLA MARIA/AEROPUERTO REGIONAL,PUBLICO,NOCONTROL,RANO,SACF,CIVIL,Nacional,NO,NO,NO,CÓRDOBA,-63.22654,-32.32006,202,Villa María,9,N,"32°19'12""S  63°13'36""W"
-64.3711700002942,-33.9430200000613,19,VMK,,,Aeródromo,VICUÑA MACKENNA/MARTÍN FIERRO,PRIVADO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,CÓRDOBA,-64.37117,-33.94302,230,Vicuña Mackenna,2,SSE,"33°56'35""S  64°22'16""W"
-64.4159500003147,-33.9340000001421,20,VMC,,,Aeródromo,VICUÑA MACKENNA/COMEQUECHEN,PRIVADO,NOCONTROL,RACE,SAEF,AEROAPP,Nacional,NO,NO,NO,CÓRDOBA,-64.41595,-33.934,243,Vicuña Mackenna,3,SO,"33°56' 2""S  64°24'57""W"
-64.4150899999741,-33.9375700003675,21,VMB,,,Aeródromo,VICUÑA MACKENNA/BENEFICIOS S.R.L.,PRIVADO,NOCONTROL,RANO,SACF,AEROAPP,Nacional,NO,NO,NO,CÓRDOBA,-64.41509,-33.93757,241,Vicuña Mackenna,2,SO,"33°56'15""S  64°24'54""W"
-64.4077499996365,-33.938229999729,22,VMA,,,Aeródromo,VICUÑA MACKENNA/DON ÁNGEL,PRIVADO,NOCONTROL,RACE,SAEF,AEROAPP,Nacional,NO,NO,NO,CÓRDOBA,-64.40775,-33.93823,228,Vicuña Mackenna,2,SO,"33°56'18""S  64°24'28""W"
-59.4105899997489,-31.6921100001917,23,VLL,,,Aeródromo,VILLAGUAY/EL MALAGUEÑO,PRIVADO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,ENTRE RÍOS,-59.41059,-31.69211,55,Villaguay,40,NO,"31°41'32""S  59°24'38""W"
-62.7137200004318,-22.2855100000556,24,VIT,,,Aeródromo,SANTA VICTORIA,PRIVADO,NOCONTROL,RANO,SACF,,Nacional,NO,NO,NO,SALTA,-62.71372,-22.28551,280,Santa Victoria,7,S,"22°17' 8""S  62°42'49""W"
-59.0730555596231,-31.8505555597891,25,VIG,SAAU,,Aeródromo,VILLAGUAY,PRIVADO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,ENTRE RÍOS,-59.07305556,-31.85055556,40,Villaguay,5,NO,"31°51' 2""S  59° 4'23""W"
-62.9966666701977,-40.8702777801579,26,VIE,SAVV,VDM,Aeródromo,VIEDMA/GOBERNADOR CASTELLO,PUBLICO,CONTROL,RASU,SAVF,,Nacional,SI,SI,NO,RÍO NEGRO,-62.99666667,-40.87027778,6,Viedma,6,S,"40°52'13""S  62°59'48""W"
-60.1894000004253,-32.5845000000112,27,VIC,,,Aeródromo,VICTORIA,PUBLICO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,ENTRE RÍOS,-60.1894,-32.5845,12,Victoria,4.8,NO,"32°35' 4""S  60°11'22""W"
-64.5644444398976,-31.9644444403625,28,VGB,,,Aeródromo,VILLA GENERAL BELGRANO,PUBLICO,NOCONTROL,RANO,SACF,,Nacional,NO,NO,NO,CÓRDOBA,-64.56444444,-31.96444444,840,Villa General Belgrano,0,NO,"31°57'52""S  64°33'52""W"
-61.1777777796977,-32.0352777799484,29,VEZ,,,Aeródromo,GALVEZ,PUBLICO,NOCONTROL,RACE,SAEF,CIVIL,Nacional,NO,NO,NO,SANTA FÉ,-61.17777778,-32.03527778,41,Galvez,4,E,"32° 2' 7""S  61°10'40""W"
-60.2263999998921,-29.4683499999844,30,VER,,,Aeródromo,VERA,PUBLICO,NOCONTROL,RANE,SARR,,Nacional,NO,NO,NO,SANTA FÉ,-60.2264,-29.46835,58,Vera,1,SO,"29°28' 6""S  60°13'35""W"
-71.2455555597927,-43.7213888898041,31,VEC,,,Aeródromo,CORCOVADO/EA. CARIDAD,PRIVADO,NOCONTROL,RASU,SAVF,CIVIL,Nacional,NO,NO,NO,CHUBUT,-71.24555556,-43.72138889,740,Corcovado,27,SE,"43°43'17""S  71°14'44""W"
-63.5388888899534,-31.580555560216,32,VDR,,,Aeródromo,VILLA DEL ROSARIO,PUBLICO,NOCONTROL,RANO,SACF,,Nacional,NO,NO,NO,CÓRDOBA,-63.53888889,-31.58055556,253,Villa del Rosario,1.5,S,"31°34'50""S  63°32'20""W"
-71.4858199996442,-43.5328699999259,33,VDO,,,Aeródromo,EL CORCOVADO,PRIVADO,NOCONTROL,RASU,SAVF,CIVIL,Nacional,NO,NO,NO,CHUBUT,-71.48582,-43.53287,600,,0,Lindando,"43°31'58""S  71°29' 9""W"
-57.767222220249,-37.4677777796525,34,VDL,,,Aeródromo,CORONEL VIDAL,PUBLICO,NOCONTROL,RACE,SAEF,CIVIL,Nacional,NO,NO,NO,BUENOS AIRES,-57.76722222,-37.46777778,26,Coronel Vidal,3.7,OSO,"37°28' 4""S  57°46' 2""W"
-61.489722220447,-34.4861111100978,35,VDA,,,Aeródromo,VEDIA,PUBLICO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,BUENOS AIRES,-61.48972222,-34.48611111,89,Vedia,5,NE,"34°29'10""S  61°29'23""W"
-61.6333500001473,-33.9610099998949,36,VCC,,,Aeródromo,VILLA CAÑAS/S. A. MIGUEL A. CARDONE,PUBLICO,NOCONTROL,RACE,SAEF,CIVIL,Nacional,NO,NO,NO,SANTA FÉ,-61.63335,-33.96101,103,Villa Cañas,4.5,NO,"33°57'40""S  61°38' 0""W"
-65.4161699995848,-36.2069400003338,37,VCA,,,Aeródromo,VICTORICA,PRIVADO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,LA PAMPA,-65.41617,-36.20694,311,Victorica,1.2,NE,"36°12'25""S  65°24'58""W"
-64.5402777797662,-32.2080555599739,38,VAY,,,Aeródromo,VILLA AMANCAY/HALLPA HUAYRA,PRIVADO,NOCONTROL,RANO,SACF,,Nacional,NO,NO,NO,CÓRDOBA,-64.54027778,-32.20805556,557,Villa Amancay,7,SE,"32°12'29""S  64°32'25""W"
-60.6819599996605,-27.5950499996467,39,VAN,,,Aeródromo,VILLA ANGELA,PUBLICO,AERADIO,RANE,SARR,,Nacional,NO,NO,NO,CHACO,-60.68196,-27.59505,75,Villa Angela,3.5,SE,"27°35'42""S  60°40'55""W"
-66.1573000003788,-40.699089999669,40,VAL,,,Aeródromo,VALCHETA,PUBLICO,NOCONTROL,RASU,SAVF,,Nacional,NO,NO,NO,RÍO NEGRO,-66.1573,-40.69909,192,Valcheta,1.5,SE,"40°41'57""S  66° 9'26""W"
-68.2955555601534,-54.8433333300968,41,USU,SAWH,USH,Aeródromo,USHUAIA/MALVINAS ARGENTINAS,PUBLICO,CONTROL,RASU,SAVF,,Internacional,SI,SI,NO,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR,-68.29555556,-54.84333333,31,Ushuaia,0,Lindando,"54°50'36""S  68°17'44""W"
-62.6750000002837,-39.45583333031,42,URO,,,Aeródromo,PEDRO LURO,PUBLICO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,BUENOS AIRES,-62.675,-39.45583333,27,Pedro Luro,4,N,"39°27'21""S  62°40'30""W"
-63.7665200003675,-36.5529700002824,43,URL,,,Aeródromo,URIBURU/ESTANCIA LOS ROBLES,PRIVADO,NOCONTROL,RACE,SAEF,CIVIL,Nacional,NO,NO,NO,LA PAMPA,-63.76652,-36.55297,137,Uriburu,10,ESE,"36°33'11""S  63°45'59""W"
-58.8989000001443,-32.6958899998597,44,URD,,,Aeródromo,URDINARRAIN,PUBLICO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,ENTRE RÍOS,-58.8989,-32.69589,66,Urdinarrain,0,SE,"32°41'45""S  58°53'56""W"
-60.6769016204316,-31.5927446897468,45,UPE,,,Aeródromo,SANTA FÉ/GUADALUPE,PRIVADO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,SANTA FÉ,-60.67690162,-31.59274469,18,Santa Fé,8,NNE,"31°35'34""S  60°40'37""W"
-60.8435999997339,-32.8884099998142,46,UNE,,,Aeródromo,FUNES/ALAGRO FUMIGACIONES,PRIVADO,NOCONTROL,RACE,SAEF,AEROAPP,Nacional,NO,NO,NO,SANTA FÉ,-60.8436,-32.88841,35,Funes,5,NO,"32°53'18""S  60°50'37""W"
-68.3553309997694,-52.8934940000448,47,ULL,,,Helipuerto,RÍO CULLEN/TOTAL AUSTRAL,PRIVADO,NOCONTROL,RASU,SAVF,,Nacional,NO,NO,NO,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR,-68.355331,-52.893494,16,Cullen,6,E,"52°53'37""S  68°21'19""W"
-66.3566666696102,-33.2722222196778,48,UIS,SAOU,LUQ,Aeródromo,SAN LUIS/BRIG. MAYOR D. CÉSAR RAUL OJEDA,PUBLICO,CONTROL,RANO,SAMF,,Nacional,SI,SI,NO,SAN LUIS,-66.35666667,-33.27222222,710,San Luis,3.8,NO,"33°16'20""S  66°21'24""W"
-58.3714820800513,-38.4255255199453,49,UEN,,,Aeródromo,QUEQUEN/MOROMAR,PRIVADO,NOCONTROL,RACE,SAEF,CIVIL,Nacional,NO,NO,NO,BUENOS AIRES,-58.37148208,-38.42552552,15,Quequén,31,ENE,"38°25'32""S  58°22'17""W"
-59.0347900001092,-31.8038400003473,50,UEL,,,Aeródromo,VILLAGUAY/EL JAGÜEL,PRIVADO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,ENTRE RÍOS,-59.03479,-31.80384,61,Villaguay,6.5,N,"31°48'14""S  59° 2' 5""W"
-60.4097222200584,-34.6072222196727,51,UCO,,,Aeródromo,CHACABUCO,PUBLICO,NOCONTROL,RACE,SAEF,CIVIL,Nacional,NO,NO,NO,BUENOS AIRES,-60.40972222,-34.60722222,69,Chacabuco,7,NE,"34°36'26""S  60°24'35""W"
-59.3738888904384,-33.1022222199642,52,UAE,,,Aeródromo,GUALEGUAY/AEROCLUB,PUBLICO,NOCONTROL,RACE,SAEF,CIVIL,Nacional,NO,NO,NO,ENTRE RÍOS,-59.37388889,-33.10222222,13,Gualeguay,8,NO,"33° 6' 8""S  59°22'26""W"
-69.3019444395999,-37.3650000001029,53,TXO,,,Aeródromo,EL TRAPIAL/CHEVRON TEXACO,PRIVADO,NOCONTROL,RACE,SAMF,CIVIL,Nacional,NO,NO,NO,NEUQUÉN,-69.30194444,-37.365,883,Rincón de los Sauces,20,O,"37°21'54""S  69°18' 7""W"
-71.4780800001718,-43.0874199996823,54,TVN,,,Aeródromo,TREVELIN,PRIVADO,NOCONTROL,RASU,SAVF,,Nacional,NO,NO,NO,CHUBUT,-71.47808,-43.08742,397,Trevelin,2,OSO,"43° 5'15""S  71°28'41""W"
-65.1047222202882,-26.8408333298503,55,TUC,SANT,TUC,Aeródromo,TUCUMÁN/TENIENTE BENJAMIN MATIENZO,PUBLICO,CONTROL,RANO,SACF,,Internacional,SI,SI,NO,TUCUMÁN,-65.10472222,-26.84083333,455,San Miguel de Tucumán,12,E,"26°50'27""S  65° 6'17""W"
-61.7780555596608,-32.9988888903481,56,TSV,,,Aeródromo,TORTUGAS/EA. SAN VICENTE,PRIVADO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,SANTA FÉ,-61.77805556,-32.99888889,70,Tortugas,28,SSE,"32°59'56""S  61°46'41""W"
-65.3241399999235,-43.2356399997728,57,TRW,,,Aeródromo,TRELEW/AEROCLUB,PUBLICO,NOCONTROL,RASU,SAVF,,Nacional,NO,NO,NO,CHUBUT,-65.32414,-43.23564,39,Trelew,2.5,NNO,"43°14' 8""S  65°19'27""W"
-64.9359600002481,-27.4966200001344,58,TRH,SANR,RHD,Aeródromo,TERMAS DE RÍO HONDO,PUBLICO,CONTROL,RANO,SACF,CIVIL,Nacional,SI,SI,NO,SANTIAGO DEL ESTERO,-64.93596,-27.49662,280.5,Termas de Río Hondo,7.5,O,"27°29'48""S  64°56' 9""W"
-65.270277779954,-43.2105555597367,59,TRE,SAVT,REL,Aeródromo,TRELEW/ALMIRANTE ZAR,PUBLICO,CONTROL,RASU,SAVF,,Internacional,SI,SI,NO,CHUBUT,-65.27027778,-43.21055556,43,Trelew,6.5,NNE,"43°12'38""S  65°16'13""W"
-64.2693399998224,-33.0921600002625,60,TRC,SAOC,RCU,Aeródromo,RÍO CUARTO/ÁREA DE MATERIAL,PUBLICO,CONTROL,RANO,SACF,,Nacional,SI,SI,NO,CÓRDOBA,-64.26934,-33.09216,421,Río Cuarto,8,NE,"33° 5'32""S  64°16'10""W"
-62.7719444403193,-35.9702777797809,61,TQL,,,Aeródromo,TRENQUE LAUQUEN/ÑANCO LAUQUEN,PUBLICO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,BUENOS AIRES,-62.77194444,-35.97027778,92,Trenque Lauquen,3.5,O,"35°58'13""S  62°46'19""W"
-64.3688888903269,-31.6502777799232,62,TOT,,,Aeródromo,ALTA GRACIA /EL TOTO,PRIVADO,NOCONTROL,RANO,SACF,CIVIL,Nacional,NO,NO,NO,CÓRDOBA,-64.36888889,-31.65027778,540,Alta Gracia,5,E,"31°39' 1""S  64°22' 8""W"
-61.7884499999493,-29.2355199997382,63,TOS,,,Aeródromo,TOSTADO,PUBLICO,NOCONTROL,RANO,SACF,,Nacional,NO,NO,NO,SANTA FÉ,-61.78845,-29.23552,69,Tostado,1,OSO,"29°14' 8""S  61°47'18""W"
-62.2494444397757,-38.0950000002651,64,TOR,,,Aeródromo,TORNQUIST,PRIVADO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,BUENOS AIRES,-62.24944444,-38.095,285,Tornquist,2,O,"38° 5'42""S  62°14'58""W"
-65.2815800001765,-32.7522599996686,65,TLS,,,Aeródromo,TILISARAO,PUBLICO,NOCONTROL,RANO,SACF,,Nacional,NO,NO,NO,SAN LUIS,-65.28158,-32.75226,751,Tilisarao,2.5,E,"32°45' 8""S  65°16'54""W"
-64.0384700001767,-31.2479700000623,66,TIR,,,Aeródromo,COLONIA TIROLESA,PRIVADO,NOCONTROL,RANO,SACF,CIVIL,Nacional,NO,NO,NO,CÓRDOBA,-64.03847,-31.24797,407,Colonia Tirolesa,3,SE,"31°14'53""S  64° 2'18""W"
-63.4019444403214,-32.2930555599382,67,TIO,,,Aeródromo,TÍO PUJIO,PRIVADO,NOCONTROL,RANO,SACF,AEROAPP,Nacional,NO,NO,NO,CÓRDOBA,-63.40194444,-32.29305556,237,Tío Pújio,9,O,"32°17'35""S  63°24' 7""W"
-67.5775899996711,-28.0408899996215,68,TIN,SANI,,Aeródromo,TINOGASTA,PRIVADO,NOCONTROL,RANO,SACF,,Nacional,NO,NO,NO,CATAMARCA,-67.57759,-28.04089,1210,Tinogasta,1,NO,"28° 2'27""S  67°34'39""W"
-67.1722599997001,-54.4996100002535,69,THN,,,Aeródromo,TOLHUIN,PRIVADO,NOCONTROL,RASU,SAVF,CIVIL,Nacional,NO,NO,NO,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR,-67.17226,-54.49961,213,Tolhuin,1.5,NE,"54°29'59""S  67°10'20""W"
-62.3097222199935,-26.8952777797247,70,TEV,,,Aeródromo,TINTINA/ESTABLECIMIENTO EL 21,PRIVADO,NOCONTROL,RANO,SACF,CIVIL,Nacional,NO,NO,NO,SANTIAGO DEL ESTERO,-62.30972222,-26.89527778,68,Tintina,41,ENE,"26°53'43""S  62°18'35""W"
-61.5069444399015,-34.1766666699215,71,TEO,,,Aeródromo,TEODELINA/F.A.T.,PRIVADO,NOCONTROL,RACE,SAEF,AEROAPP,Nacional,NO,NO,NO,SANTA FÉ,-61.50694444,-34.17666667,87,Teodelina,1,E,"34°10'36""S  61°30'25""W"
-62.4694444400045,-35.4252777801716,72,TEJ,,,Aeródromo,CARLOS TEJEDOR,PUBLICO,NOCONTROL,RACE,SAEF,CIVIL,Nacional,NO,NO,NO,BUENOS AIRES,-62.46944444,-35.42527778,94,Carlos Tejedor,5,SO,"35°25'31""S  62°28'10""W"
-71.0219444399194,-43.6122222203201,73,TEC,,,Aeródromo,ESTANCIA TECKA,PRIVADO,NOCONTROL,RASU,SAVF,CIVIL,Nacional,NO,NO,NO,CHUBUT,-71.02194444,-43.61222222,720,Estancia Tecka,2.8,O,"43°36'44""S  71° 1'19""W"
-61.65166667035,-32.2505555600054,74,TDB,,,Aeródromo,EL TREBOL/DE BERNARDO,PRIVADO,NOCONTROL,RACE,SAEF,AEROAPP,Nacional,NO,NO,NO,SANTA FÉ,-61.65166667,-32.25055556,87,El Trébol,7,SE,"32°15' 2""S  61°39' 6""W"
-65.309369999735,-26.7960600002726,75,TCM,,,Aeródromo,TUCUMÁN/AEROCLUB HORCO MOLLE,PUBLICO,NOCONTROL,RANO,SACF,,Nacional,NO,NO,NO,TUCUMÁN,-65.30937,-26.79606,580,San Miguel de Tucumán,8,O,"26°47'46""S  65°18'34""W"
-61.7591499997718,-32.243829999811,76,TBL,,,Aeródromo,EL TRÉBOL/BURDISSO,PRIVADO,NOCONTROL,RACE,SAEF,AEROAPP,Nacional,NO,NO,NO,SANTA FÉ,-61.75915,-32.24383,111,El Trebol,7,SO,"32°14'38""S  61°45'33""W"
-63.7930555601239,-22.6183333301913,77,TAR,SAST,TTG,Aeródromo,TARTAGAL/GENERAL ENRIQUE MOSCONI,PUBLICO,NOCONTROL,RANO,SACF,,Nacional,SI,NO,NO,SALTA,-63.79305556,-22.61833333,449,Tartagal,11,S,"22°37' 6""S  63°47'35""W"
-60.8113888903006,-31.7108333301091,78,SVO,SAAV,SFN,Aeródromo,SANTA FÉ/SAUCE VIEJO,PUBLICO,CONTROL,RACE,SAEF,,Nacional,SI,NO,NO,SANTA FÉ,-60.81138889,-31.71083333,17,Santa Fé,10,SSO,"31°42'39""S  60°48'41""W"
-61.8893399997145,-37.4460899997198,79,SUZ,SAZC,CSZ,Aeródromo,CORONEL SUÁREZ/BRIG. D. H. E.  RUIZ,PUBLICO,NOCONTROL,RACE,SAEF,CIVIL,Nacional,NO,NO,NO,BUENOS AIRES,-61.88934,-37.44609,234,Coronel Suárez,3,ENE,"37°26'46""S  61°53'22""W"
-56.721388889802,-36.5422222200455,80,STR,SAZL,SST,Aeródromo,SANTA TERESITA,PUBLICO,AERADIO,RACE,SAEF,,Nacional,SI,NO,NO,BUENOS AIRES,-56.72138889,-36.54222222,3,Santa Teresita,2,O,"36°32'32""S  56°43'17""W"
-68.509444440082,-33.0622222200125,81,STI,SAMI,,Aeródromo,SAN MARTÍN,PUBLICO,NOCONTROL,RANO,SAMF,,Nacional,NO,NO,NO,MENDOZA,-68.50944444,-33.06222222,696,San Martín,3,NE,"33° 3'44""S  68°30'34""W"
-62.6174700003316,-40.2103799999241,82,STD,,,Aeródromo,STROEDER,PUBLICO,NOCONTROL,RASU,SAEF,,Nacional,NO,NO,NO,BUENOS AIRES,-62.61747,-40.21038,28,Stroeder,1.5,S,"40°12'37""S  62°37' 3""W"
-60.1466666698459,-35.8283333298984,83,SSR,,,Aeródromo,SALADILLO/SANTA RITA,PRIVADO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,BUENOS AIRES,-60.14666667,-35.82833333,54,Saladillo,38,SO,"35°49'42""S  60° 8'48""W"
-60.1559700002206,-34.3568399999788,84,SSK,,,Aeródromo,SALTO/SKARE,PUBLICO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,BUENOS AIRES,-60.15597,-34.35684,60,Est. Gahan,4,O,"34°21'25""S  60° 9'21""W"
-69.001111109683,-45.5830555597674,85,SRM,,,Aeródromo,SARMIENTO,PRIVADO,NOCONTROL,RASU,SAVF,,Nacional,NO,NO,NO,CHUBUT,-69.00111111,-45.58305556,270,Sarmiento,3,E,"45°34'59""S  69° 0' 4""W"
-63.1245100002254,-34.5466100000321,86,SRE,,,Aeródromo,SANTA REGINA/FORTÍN DE GAINZA,PRIVADO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,BUENOS AIRES,-63.12451,-34.54661,130,Santa Regina,3,E,"34°32'48""S  63° 7'28""W"
-65.1858333297233,-32.384722220035,87,SRC,SAOS,RLO,Aeródromo,SANTA ROSA DE CONLARA/VALLE DEL CONLARA,PUBLICO,CONTROL,RANO,SACF,,Nacional,NO,NO,NO,SAN LUIS,-65.18583333,-32.38472222,616,Santa Rosa del Conlara,4.5,SSE,"32°23' 5""S  65°11' 9""W"
-68.4035888902944,-34.5878166699347,88,SRA,SAMR,AFA,Aeródromo,SAN RAFAEL/S.A. SANTIAGO GERMANO,PUBLICO,CONTROL,RANO,SAMF,,Nacional,SI,SI,NO,MENDOZA,-68.40358889,-34.58781667,753,San Rafael,8,O,"34°35'16""S  68°24'13""W"
-61.6134799999861,-32.1055700003776,89,SQI,,,Aeródromo,CAÑADA ROSQUIN,PRIVADO,NOCONTROL,RACE,SAEF,CIVIL,Nacional,NO,NO,NO,SANTA FÉ,-61.61348,-32.10557,67,Cañada Rosquín,5,S,"32° 6'20""S  61°36'49""W"
-60.1955555603826,-33.3908333303203,90,SNY,,,Aeródromo,SAN NICOLÁS DE LOS ARROYOS,PUBLICO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,BUENOS AIRES,-60.19555556,-33.39083333,30,San Nicolás de los Arroyos,6,SSE,"33°23'27""S  60°11'44""W"
-59.4391099999517,-34.2198000002192,91,SNT,SAAA,,Aeródromo,SAN ANTONIO DE ARECO,PUBLICO,NOCONTROL,RACE,SAEF,,Nacional,NO,NO,NO,BUENOS AIRES,-59.43911,-34.2198,30,San Antonio de Areco,3,NE,"34°13'11""S  59°26'21""W"
-63.5911100001882,-37.9593400000177,92,SMT,,,Aeródromo,GENERAL SAN MARTÍN,PRIVADO,NOCONTROL,RACE,SAEF,CIVIL,Nacional,NO,NO,NO,LA PAMPA,-63.59111,-37.95934,161,General San Martín,1.5,N,"37°57'34""S  63°35'28""W"
-62.5311111099747,-32.7366666702307,93,SMS,,,Aeródromo,SAN MARCOS/CHIALVA S.H.,PRIVADO,NOCONTROL,RANO,SACF,AEROAPP,Nacional,NO,NO,NO,CÓRDOBA,-62.53111111,-32.73666667,115,Bell Ville,19,SE,"32°44'12""S  62°31'52""W"
